DateTime,Entries,UniqueIPs
1502244032,5014,5132
1502248234,5015,5133
1502252434,5023,5141
1502259632,5048,5168
1502263834,5068,5189
1502273435,5084,5205
1502279434,5140,5264
1502285435,5147,5271
1502289636,5153,5277
1502295634,5181,5305
1502301036,5195,5320
1502306435,5202,5327
1502311835,5217,5342
1502316635,5220,5345
1502322034,5224,5349
1502327435,5233,5358
1502333434,5241,5366
1502339435,5248,5373
1502344235,5252,5377
1502354434,5255,5380
1502360434,5264,5389
1502365235,5270,5395
1502371234,5274,5399
1502376635,5277,5402
1502381434,5280,5405
1502385032,5281,5406
1502388634,5283,5408
1502392232,5286,5411
1502396435,5287,5412
1502401234,5289,5414
1502406635,5293,5418
1502412033,5300,5425
1502417434,5305,5430
1502426435,5311,5436
1502430031,5320,5445
1502433034,5322,5447
1502437234,5316,5441
1502440832,5319,5444
1502446235,5311,5436
1502451634,5305,5430
1502455232,5307,5432
1502458235,5306,5431
1502462437,5308,5433
1502467834,5298,5422
1502473236,5299,5423
1502476832,5305,5429
1502480435,5311,5435
1502485835,5304,5428
1502491833,5305,5429
1502496633,5303,5427
1502500832,5298,5422
1502505632,5295,5419
1502511634,5300,5424
1502516433,5296,5420
1502521833,5288,5412
1502526633,5285,5409
1502530230,5286,5410
1502534433,5279,5403
1502538031,5280,5404
1502543433,5280,5404
1502546430,5281,5405
1502550033,5275,5399
1502553631,5268,5392
1502560834,5265,5389
1502563832,5259,5383
1502568033,5254,5378
1502571631,5255,5379
1502575232,5251,5375
1502578831,5253,5377
1502583633,5246,5370
1502588433,5246,5370
1502599832,5240,5364
1502607632,5237,5360
1502611832,5236,5359
1502617234,5233,5356
1502620831,5234,5357
1502625632,5225,5348
1502632831,5223,5346
1502635833,5216,5339
1502643631,5221,5344
1502646633,5221,5344
1502650833,5219,5342
1502655633,5220,5341
1502661034,5220,5341
1502665832,5215,5336
1502671833,5207,5328
1502677232,5204,5325
1502681433,5205,5326
1502685633,5249,5371
1502691632,5246,5368
1502697033,5248,5370
1502702432,5246,5368
1502707233,5245,5366
1502712633,5247,5368
1502718633,5239,5360
1502724033,5244,5365
1502731830,5240,5361
1502736033,5237,5358
1502742033,5231,5352
1502747433,5227,5348
1502752832,5229,5350
1502757633,5229,5350
1502763033,5226,5347
1502772633,5223,5344
1502777433,5222,5342
1502781632,5219,5339
1502785833,5219,5339
1502790033,5217,5337
1502795433,5215,5334
1502801432,5210,5329
1502806232,5205,5324
1502814632,5206,5325
1502821834,5204,5323
1502825430,5201,5320
1502829633,5203,5322
1502833834,5196,5315
1502838035,5190,5308
1502845834,5191,5309
1502851834,5187,5305
1502856635,5184,5302
1502861434,5182,5300
1502865032,5184,5302
1502869235,5175,5293
1502878834,5168,5285
1502884234,5162,5279
1502889635,5157,5274
1502895034,5151,5268
1502899835,5146,5263
1502905234,5147,5264
1502911234,5147,5264
1502916634,5148,5264
1502922035,5148,5264
1502926234,5145,5261
1502930435,5138,5253
1502935833,5139,5254
1502941834,5136,5251
1502947234,5132,5247
1502952636,5129,5243
1502957435,5126,5240
1502964034,5122,5235
1502968834,5116,5229
1502974235,5112,5225
1502979635,5109,5222
1502985034,5107,5220
1502990437,5100,5212
1502995835,5098,5210
1503001835,5097,5208
1503006634,5092,5202
1503012034,5089,5199
1503017433,5083,5193
1503022834,5083,5193
1503028234,5081,5191
1503033034,5068,5178
1503037834,5062,5172
1503041431,5063,5173
1503045033,5062,5172
1503052232,5060,5170
1503055833,5055,5165
1503059431,5056,5166
1503063033,5053,5163
1503066632,5049,5159
1503073831,5044,5154
1503077434,5047,5157
1503081638,5040,5150
1503086434,5042,5152
1503090031,5042,5152
1503097831,5039,5149
1503103233,5036,5145
1503105632,5029,5138
1503110434,5027,5136
1503113431,5031,5140
1503117034,5031,5140
1503120631,5032,5141
1503127832,5031,5140
1503131435,5026,5135
1503138634,5041,5151
1503141634,5114,5228
1503145834,5183,5297
1503150034,5175,5288
1503156034,5175,5288
1503161434,5195,5308
1503166835,5201,5314
1503171634,5201,5314
1503177034,5228,5341
1503183035,5426,5542
1503189634,5445,5561
1503195034,5472,5588
1503200434,5512,5628
1503205234,5512,5628
1503210635,5514,5630
1503216635,5567,5683
1503222635,5568,5684
1503228034,5571,5687
1503233434,5591,5707
1503238834,5586,5702
1503244233,5590,5706
1503249634,5594,5710
1503255034,5627,5743
1503261035,5628,5744
1503266434,5633,5749
1503271834,5643,5760
1503277234,5643,5760
1503283234,5646,5764
1503289834,5672,5790
1503295235,5670,5788
1503300034,5676,5794
1503311438,5680,5798
1503316834,5684,5801
1503322235,5700,5817
1503333035,5702,5819
1503337834,5705,5822
1503343235,5704,5821
1503348634,5705,5822
1503354034,5702,5819
1503359434,5708,5825
1503365435,5711,5828
1503370835,5710,5827
1503376239,5708,5824
1503381639,5706,5822
1503387038,5705,5821
1503391835,5706,5822
1503397235,5702,5818
1503403234,5701,5817
1503408634,5697,5813
1503413435,5699,5815
1503418834,5700,5817
1503424834,5700,5817
1503429635,5703,5821
1503435034,5706,5824
1503440435,5707,5825
1503446434,5708,5826
1503450634,5708,5826
1503457235,5707,5825
1503462035,5706,5824
1503467433,5709,5827
1503473434,5701,5819
1503479434,5699,5817
1503486034,5694,5812
1503491434,5693,5811
1503496834,5686,5805
1503501633,5686,5806
1503506434,5682,5802
1503511834,5683,5803
1503517834,5678,5798
1503523234,5679,5799
1503528034,5676,5796
1503531631,5677,5797
1503535834,5677,5797
1503540637,5675,5795
1503546034,5677,5797
1503551434,5675,5795
1503557433,5665,5785
1503567635,5664,5784
1503573034,5662,5782
1503578436,5656,5776
1503589234,5655,5775
1503594634,5649,5769
1503600034,5649,5769
1503605434,5647,5767
1503610834,5646,5766
1503614432,5647,5767
1503618034,5644,5764
1503624033,5642,5762
1503634233,5636,5756
1503639634,5632,5752
1503645034,5628,5748
1503651034,5625,5745
1503655834,5627,5746
1503661834,5620,5739
1503666634,5613,5732
1503672034,5614,5734
1503677434,5606,5725
1503683434,5600,5719
1503688834,5601,5720
1503693634,5593,5712
1503698434,5594,5713
1503702032,5590,5709
1503706234,5588,5707
1503711634,5589,5708
1503717034,5589,5708
1503723036,5587,5706
1503727834,5580,5699
1503736834,5576,5696
1503742234,5575,5695
1503753634,5569,5689
1503758434,5570,5690
1503768034,5583,5703
1503772234,5585,5705
1503775832,5586,5706
1503783032,5579,5699
1503787235,5576,5696
1503796234,5569,5688
1503799832,5574,5693
1503805234,5569,5688
1503810635,5789,5911
1503817834,5993,6113
1503825034,6011,6131
1503832251,6032,6152
